No.,"Show
on
Web",Prj_#_4_Display,Project Name,Type,Sub Type,Country,Capacity (MW),Length(km),Scope Note,Size,Brown Field / Green Field,Company ,Start Date,Start Year,Regulatory/Govt Approval Date,FID Date,FID Year,Construction Start Year,FID ISD (Date),FID ISD Year,Actual ISD,Actual ISD Year,Implementation Duration,Construction Duration,ISD Variance (Actual vs FID) in Years,Schedule Variance (%),ISD Variance (Actual vs FID) in Years (cal by Dates),Cost Estimate when Started,Cost Variance (Actual vs FID),Cost Variance (Actual vs FID) %,FID Cost (when Approved),FID-Current Year Value,Final Cost,Construction Run Rate,Note,Project Website,Source,,,,,,,,,,,,,,,
1,,Project 1,Hornsea 2,Generation,Wind,UK,1300,, 165 Siemens Gamesa 8MW SG 8.0-167 DD turbines,462,,,,,8-1-2016,9-1-2017,2017,2018,9-30-2022,2022,8-31-2022,2022,5.0,4.0,0.0,0.0%,-0.08,,,,7.8,,,,"World's largest offshore wind farm at commissioning (1.32 GW, 165×SG 8 MW turbines). Fully commissioned Aug 2022, ~4 months late. Ørsted does not publish project-level costs officially; estimated ~£3B. Currency: GBP billions. Confidence: medium.",https://orsted.com/en/our-green-energy-transition/offshore-wind/hornsea-2,https://en.wikipedia.org/wiki/Hornsea_Wind_Farm,,,,,,,,,,,,,,,
2,,Project 2,Anjou Substation and 315-kV Transmission Line,Transmission,Substation,Canada,,11,"gradually replacing its 120-kilovolt (kV) facilities with new, higher capacity 315-kV equipment.  In addition, a 315-kV switching substation—Anjou substation—will be built near the Highway 25/Henri‑Bourassa Boulevard intersection",,,Hydro-Québec,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
3,,Project 3,New 735/120‑kV substation in the Lanaudière region,Transmission,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,,,,,,,,,https://www.hydroquebec.com/projects/lanaudiere/lets-talk.html,,,,,,,,,,,,,,,
4,,Project 4,Site C Clean Energy Project,Generation,Hydro Generation,Canada,1100,,w/ Transmission scope,14.5,Green,BC Hydro,,,,12-1-2014,2014,2015,11-01-2023,2023,2025,2025,11.0,10.0,2.0,22.2%,-120.02,,7.665,92%,8.335,,16,1090.9,"1,100 MW run-of-river dam on Peace River, BC. First two units online 2024; remaining four units targeted by late 2025. Cost escalated from $7.9B (2014 estimate) to ~$16B. Currency: CAD billions. Confidence: medium — final cost pending full commissioning.",https://www.bchydro.com/energy-in-bc/projects/site_c.html,https://en.wikipedia.org/wiki/Site_C_dam,,,,,,,,,,,,,,,
5,Yes,Project 5,Keeyask Hydroelectric Project,Generation,Hydro Generation,Canada,695,,7 unit,12.5,,Manitoba Hydro,,,,2012,2014,2014,,2019,,2022,8.0,8.0,3.0,60.0%,0.00,,2.2,34%,6.5,,8.7,815.6,"695 MW generating station on lower Nelson River, MB. Completed 2021. Cost rose from $6.5B (original) to ~$8.7B — ~34% overrun. Under Manitoba PUB review. Currency: CAD billions. Confidence: medium.",https://keeyask.com/the-project/,https://www.hydro.mb.ca/projects/keeyask/,,,,,,,,,,,,,,,
6,Yes,Project 6,Muskrat Falls Hydroelectric Project,Generation,Hydro Generation,Canada,824,,w/ Transmission scope,16.4,Green,Nalcor Energy,,,,,2012,2012,,2017,,2023,11.0,11.0,6.0,120.0%,0.00,,6.1,82%,7.4,,13.5,920.5,"824 MW run-of-river station on Churchill River, NL. First power 2020. Cost rose from $7.4B (2013 FID) to ~$13.1B — over 75% overrun. Federal government provided $5.2B support (Jul 2021). Currency: CAD billions. Confidence: high.",https://nlhydro.com/projects/muskrat-falls/,https://en.wikipedia.org/wiki/Muskrat_Falls_Generating_Station,,,,,,,,,,,,,,,
7,Yes,Project 7,Darlington Nuclear Refurbishment,Generation,Nuclear Generation,Canada,,,,,Brown,Ontario Power Generation,,,,2016,2016,2016,2026,2026,,2026,10.0,10.0,0.0,0.0%,-5.63,,0.2,2%,12.8,,13,975.0,All 4 CANDU units refurbished (2016–2026). Unit 4 reconnected Feb 2026 — completed 4 months ahead of schedule and ~$150M under the $12.8B budget. Currency: CAD billions. Confidence: high.,https://www.opg.com/projects-services/projects/nuclear/darlington-refurbishment/,https://www.opg.com/news-resources/newsroom/our-stories/story/darlington-refurb-construction-completed-ahead-of-schedule-under-budget/,,,,,,,,,,,,,,,
8,,Project 8,Coastal GasLink Pipeline Project,Generation,,,,,,,,TC Energy,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,1.8,38%,4.8,,6.6,,,,,,,,,,,,,,,,,,,
9,,Project 9,Manitoba-Minnesota Transmission Project,Transmission,Transmission Line,Canada,,,,,,Manitoba Hydro,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,0.104,30%,0.35,,0.454,#DIV/0!,"214 km, 500 kV AC line connecting Manitoba to Minnesota Power's Great Northern Transmission Line. Completed Jun 2020 — on schedule and under budget at ~$490M. Currency: CAD millions. Confidence: high.",https://www.hydro.mb.ca/projects/mb_mn_transmission/,https://www.tdworld.com/overhead-transmission/article/21138049/minnesota-transmission-project-completed-in-june-2020,,,,,,,,,,,,,,,
10,,Project 10,Labrador-Island Transmission Link,Transmission,Transmission Line,Canada,,,,,,Nalcor Energy,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,1.6,76%,2.1,,3.7,#DIV/0!,"~1,100 km HVDC transmission link from Labrador to Newfoundland's Avalon Peninsula; in service 2021. Cost ~$3.1B as a component of the broader Lower Churchill project (~$13.1B total). Converter station contract grew 30% to $519M. Currency: CAD billions. Confidence: medium.",https://www.emeranl.com/maritime-link/commercial-investments/labrador-island-transmission-link-investment,https://en.wikipedia.org/wiki/Lower_Churchill_Project,,,,,,,,,,,,,,,
11,,Project 11,East-West Tie Transmission Project,Transmission,Transmission Line,Canada,,,,,,NextBridge Infrastructure,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,0,0%,0.777,,0.777,#DIV/0!,"450 km double-circuit 230 kV line (Thunder Bay to Wawa, ON); in service Mar 2022 after years of permitting delays. Final cost $777M. Currency: CAD millions. Confidence: high.",https://www.nexteraenergycanada.com/content/dam/neecanada/ca/en/pdf/east-west-tie-transmission/EWT-Fact-Sheet-FINAL.pdf,https://www.northernontariobusiness.com/industry-news/forestry/after-years-of-delays-the-east-west-tie-line-is-complete-5254972,,,,,,,,,,,,,,,
12,Yes,Project 12,Wataynikaneyap Power Transmission Project,Transmission,Transmission Line,Canada,,1800,,1.0,,Wataynikaneyap Power,,,,,2019,2019,,2023,,2024,5.0,5.0,1.0,25.0%,0.00,,-0.1,-5%,1.9,,1.8,270.0,"~1,800 km of new transmission lines connecting 16 remote First Nations communities to the Ontario grid; construction completed Dec 2024. Largest Indigenous-led transmission project in Ontario. Total cost up to $1.9B. Currency: CAD billions. Confidence: high.",https://www.wataypower.ca/,https://www.wataypower.ca/updates/wataynikaneyap-power-completes-construction-of-the-line-that-brings-light,,,,,,,,,,,,,,,
13,Yes,Project 13,Bipole III Transmission Line,Transmission,Transmission Line,Canada,,1384,500kV DC transmission line ( 66 meter wide right-of-way) + two converter stations + 230kv collector lines,3.5,,Manitoba Hydro,,2007,2013,,2013,2014,,2017,,2018,5.0,4.0,1.0,25.0%,0.00,,1.52,46%,3.28,,4.8,720.0,"1,385 km HVDC transmission line (western Manitoba corridor); in service Jul 2018. Cost rose from $2.2B (2007 estimate) to ~$5.04B — 129% overrun. Currency: CAD billions. Confidence: high.",https://www.hydro.mb.ca/regulatory_affairs/projects/bipole3/,https://www.cbc.ca/news/canada/manitoba/manitoba-hydro-s-bipole-iii-cost-shoots-up-by-more-than-1b-1.2770793,,,,,,,,,,,,,,,
14,,Project 14,Point Lepreau,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,1,71%,1.4,,2.4,,,,All dollar value as of 2017 Table 5-1 https://www.brucepower.com/wp-content/uploads/2020/01/Nuclear-Refurb-EN.pdf,,,,,,,,,,,,,,,
15,,Project 15,BNGS A Units 1 & 2 ,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,2.05,75%,2.75,,4.8,,,,same as the above,,,,,,,,,,,,,,,
16,,Project 16,PNGS A Unit 4,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,0.79,172%,0.46,,1.25,,,,same as the above,,,,,,,,,,,,,,,
17,,Project 17,PNGS A Unit 1,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,0.79,376%,0.21,,1,,,,same as the above,,,,,,,,,,,,,,,
18,,Project 18,High Speed 2 (HS2),Railway,High Speed Rail,UK,,,,,,,,,,,,,,,,,0.0,0.0,0.0,#DIV/0!,0.00,,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
19,Yes,Project 19,Bruce Power Refurbishment (MCR),Generation,Nuclear Generation,Canada,,,,,Brown,Bruce Power,,,,,2015,2015,,2033,,2033,18.0,18.0,0.0,0.0%,0.00,,0.2,2%,12.8,,13,541.7,"6-unit Major Component Replacement (MCR) life-extension program at Bruce Nuclear site, ON; total program ~$13B over 15 years. Started with Unit 6 in Jan 2020; Units 3, 4, 5, 6 construction phases completed; Units 1 & 2 ongoing as of 2026. On budget and ahead of schedule. Currency: CAD billions. Confidence: medium — program ongoing.",https://www.brucepower.com/life-extension/,https://canada.constructconnect.com/dcn/news/infrastructure/2022/08/bruce-powers-25b-refurbishment-nears-next-phase-of-completion,,,,,,,,,,,,,,,
20,Yes,Project 20,La Romaine Hydroelectric Complex,Generation,Hydro Generation,Canada,,1550,Four reservors and generating stations,4.8,Green,Hydro Quebec,,,,,2009,2009,,2020,,2023,14.0,14.0,3.0,27.3%,0.00,,0.9,14%,6.5,,7.4,396.4,"Four generating stations (1,550 MW total) on Romaine River, QC; final station commissioned Oct 2023. Final cost $7.4B — 14% under original $8.6B estimate. Currency: CAD billions. Confidence: high.",https://www.hydroquebec.com/projects/romaine.html,https://www.renewableenergyworld.com/hydro-power/hydro-quebec-officially-completes-1-55-gw-romaine-hydroelectric-complex/,,,,,,,,,,,,,,,
21,Yes,Project 21,Lower Mattagami River Project,Generation,Hydro Generation,Canada,,,,,,Ontario Power Generation,,,,,2010,2010,,2015,,2015,5.0,5.0,0.0,0.0%,0.00,,0,0%,2.6,,2.6,390.0,"Addition of 6 generating units on Mattagami River, ON (net +438 MW); completed Dec 2014 — ahead of schedule and on budget at $2.6B. Currency: CAD billions. Confidence: high.",https://www.opg.com/projects-services/projects/hydroelectric-development/,https://www.newswire.ca/news-releases/lower-mattagami-hydroelectric-project-completed-ahead-of-schedule-and-on-budget-516477931.html,,,,,,,,,,,,,,,
22,Yes,Project 22,Maritime Link Project,Transmission,Submarine/Underground,Canada,,,,,Green,NSP Maritime Link,,,,,2013,2013,,2018,,2018,5.0,5.0,0.0,0.0%,0.00,,0.4,29%,1.4,,1.8,270.0,"170 km, 500 MW HVDC undersea cable linking Newfoundland to Nova Scotia; in service Jan 2018. Completed on time and on budget. Final approved cost $1.7B. Currency: CAD billions. Confidence: high.",https://www.emeranl.com/maritime-link/overview,https://www.cbc.ca/news/canada/nova-scotia/emera-wins-approval-to-charge-n-s-power-customers-1-7b-for-maritime-link-1.6345072,,,,,,,,,,,,,,,
23,Yes,Project 23,Western Alberta Transmission Line,Transmission,Transmission Line,Canada,,,,,,ATCO,,,,,2011,2011,,2015,,2015,4.0,4.0,0.0,0.0%,0.00,,0.2,13%,1.5,,1.7,318.8,"350 km, 500 kV AC line from Edmonton area to Calgary area; completed 2015. Final cost ~$1.7B. AltaLink project regulated by Alberta Utilities Commission. Currency: CAD billions. Confidence: medium.",https://www.altalink.ca/,https://www.industrialinfo.com/news/article/western-albertas-165-billion-transmission-project-nears-completion--242720,,,,,,,,,,,,,,,
24,Yes,Project 24,Fort McMurray West Transmission Project,Transmission,Transmission Line,Canada,,,,,,Alberta PowerLine,,,,,2014,2014,,2019,,2019,5.0,5.0,0.0,0.0%,0.00,,0.2,14%,1.4,,1.6,240.0,"508 km, 500 kV AC line — longest single-circuit AC line in Canada; energized Mar 2019, 3 months ahead of schedule and on budget at $1.6B. P3 delivery model (Alberta PowerLine / ATCO + Quanta). Currency: CAD billions. Confidence: high.",https://electric.atco.com/en-ca/community/projects/fort-mcmurray-west-500-kv-transmission-project.html,https://www.renewcanada.net/fort-mcmurray-west-transmission-project-completed/,,,,,,,,,,,,,,,
25,Yes,Project 25,Chamouchouane-Bout-de-l'Île Transmission Line,Transmission,Transmission Line,Canada,,,,,,Hydro Quebec,,,,,2015,2015,,2018,,2019,4.0,4.0,1.0,33.3%,0.00,,-0.1,-7%,1.4,,1.3,243.8,"420 km, 735 kV line from Saguenay–Lac-Saint-Jean to the Montreal metropolitan loop + new Judith-Jasmin substation; commissioned Jul 2019 — below budget and ahead of schedule at $1.3B. Currency: CAD billions. Confidence: high.",https://www.hydroquebec.com/projects/chamouchouane-bout-de-lile/,https://www.newswire.ca/news-releases/735-kv-chamouchouane-bout-de-l-ile-project-hydro-quebec-inaugurates-newly-constructed-facilities-at-a-cost-of-1-3-billion-826386284.html,,,,,,,,,,,,,,,
26,Yes,Project 26,Romaine Complex Transmission Line,Transmission,Transmission Line,Canada,,,,,,Hydro Quebec,,,,,2009,2009,,2020,,2020,11.0,11.0,0.0,0.0%,0.00,,-0.7,-35%,2,,1.3,88.6,"~470 km of 735 kV + 28 km of 315 kV lines to evacuate 1,550 MW from the four Romaine generating stations to the grid; completed 2023 as part of the $7.4B total Romaine complex (transmission component ~$2B). Currency: CAD billions. Confidence: medium — transmission cost is a subset of the published total.",https://www.hydroquebec.com/projects/romaine.html,https://www.renewableenergyworld.com/hydro-power/hydro-quebec-officially-completes-1-55-gw-romaine-hydroelectric-complex/,,,,,,,,,,,,,,,
27,Yes,Project 27,Micoua-Saguenay Transmission Project,Transmission,Transmission Line,Canada,,,,,,Hydro Quebec,,,,,2018,2018,,2022,,2023,5.0,5.0,1.0,25.0%,0.00,,0.5,63%,0.8,,1.3,195.0,"262 km, 735 kV line from Micoua (Côte-Nord) to Saguenay substation; commissioned Aug 2023 at $1.271B. On budget. Currency: CAD billions. Confidence: high.",https://www.hydroquebec.com/projects/micoua-saguenay-line/,https://www.renewcanada.net/hydro-quebec-announces-commissioning-of-micoua-saguenay-transmission-line/,,,,,,,,,,,,,,,
28,Yes,Project 28,John Hart Generating Station Replacement Project,Generation,Hydro Generation,Canada,,,,,Brown,BC Hydro,,,,,2013,2013,,2018,,2018,5.0,5.0,0.0,0.0%,0.00,,-0.1,-9%,1.1,,1,150.0,"Underground replacement of the original 1947 John Hart generating station (550 MW) in Campbell River, BC; completed 2019 — on time and on budget at $1.093B. Currency: CAD billions. Confidence: high.",https://www.bchydro.com/energy-in-bc/projects/john-hart.html,https://www.bchydro.com/news/press_centre/news_releases/2018/john-hart-project.html,,,,,,,,,,,,,,,
29,Yes,Project 29,Crossrail ,Railway,Commuter / Regional Rail,United Kindom,,118,,160.2,Green,,,,,,2007,2009,,2018,,2022,15.0,13.0,4.0,36.4%,0.00,,3.3,21%,15.6,,18.9,945.0,"118 km through-running metro (Paddington–Liverpool St–Stratford/Abbey Wood), London. Passenger services opened 24 May 2022 — ~3.5 years late. Cost rose from £14.8B (2010 budget) to £18.8B — ~£4B overrun. Currency: GBP billions. Confidence: high.",https://www.crossrail.co.uk/,https://en.wikipedia.org/wiki/Crossrail,,,,,,,,,,,,,,,
30,Yes,Project 30,Hinkley Point C,Generation,Nuclear Generation,United Kindom,3260,,,14.1,Brown,NNB Generation Company (HPC) Ltd,,,,,2016,2018,,2025,,2031,15.0,13.0,6.0,66.7%,0.00,,28,156%,18,,46,2300.0,"2×1,630 MW EPR nuclear reactors in Somerset, UK; FID 2016. Unit 1 first power now expected 2030 (pushed from 2029 in Feb 2026 update). Cost rose from ~£18B (FID) to £35B in 2015 prices (~£48B current prices) — largest cost overrun in UK infrastructure history. Currency: GBP billions. Confidence: high — still under construction.",https://www.edfenergy.com/energy/nuclear-new-build-projects/hinkley-point-c,https://en.wikipedia.org/wiki/Hinkley_Point_C_nuclear_power_station,,,,,,,,,,,,,,,
